Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Agile BizDays - Morning 1"	"18.05.2021 09:45 CEST"	"18.05.2021 12:30 CEST"	""	""	""
"Agile Bizdays - Afternoon 1"	"18.05.2021 13:30 CEST"	"18.05.2021 17:15 CEST"	""	""	""
"Agile BizDays - Morning 2"	"19.05.2021 09:45 CEST"	"19.05.2021 12:30 CEST"	""	""	""
"Agile BizDays - Afternoon 2"	"19.05.2021 13:30 CEST"	"19.05.2021 17:15 CEST"	""	""	""
"Accueil petit déjeuner PGD4"	"25.10.2021 09:00 CEST"	"25.10.2021 09:30 CEST"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/hwy-jgiw-fbc"	""	""
"Piscine innovation &amp\; technologies"	"25.10.2021 09:30 CEST"	"25.10.2021 17:30 CEST"	""	""	""
"Accueil + Install party + débriefing professionnel"	"25.10.2021 09:30 CEST"	"25.10.2021 11:30 CEST"	""	""	""
"Kick off piscine"	"25.10.2021 11:30 CEST"	"25.10.2021 12:00 CEST"	""	""	""
"Présentation du Hub Digital"	"26.10.2021 09:30 CEST"	"26.10.2021 10:30 CEST"	""	""	""
"Self-assesment 1"	"27.10.2021 09:00 CEST"	"27.10.2021 23:42 CEST"	"Self-assesment 1 [1]  Links: ------ [1] https://gandalf.epitech.eu/mod/questionnaire/view.php?id=3946 "	""	""
"Topic 01 is due"	"27.10.2021 23:42 CEST"	"27.10.2021 23:42 CEST"	"_Submit here your delivery (one zip file, max 100MB)_ "	""	""
"Self-assesment 1 should be completed"	"27.10.2021 23:42 CEST"	"27.10.2021 23:42 CEST"	"_Self-assess here your proficiency for the competencies relatedto this topic._ "	""	""
"Self-assesment 2 should be completed"	"27.10.2021 23:42 CEST"	"27.10.2021 23:42 CEST"	"_Self-assess here your proficiency for the competencies relatedto this topic._ "	""	""
"Self-assesment 3 should be completed"	"27.10.2021 23:42 CEST"	"27.10.2021 23:42 CEST"	"_Self-assess here your proficiency for the competencies relatedto this topic._ "	""	""
"Self-assesment 4 should be completed"	"27.10.2021 23:42 CEST"	"27.10.2021 23:42 CEST"	"_Self-assess here your proficiency for the competencies relatedto this topic._ "	""	""
"Self-assesment 5 should be completed"	"27.10.2021 23:42 CEST"	"27.10.2021 23:42 CEST"	"_Self-assess here your proficiency for the competencies relatedto this topic._ "	""	""
"FÉRIÉ - CAMPUS FERMÉ"	"01.11.2021 08:00 CET"	"01.11.2021 23:00 CET"	""	""	""
"Topic 02 is due"	"01.11.2021 23:42 CET"	"01.11.2021 23:42 CET"	"_Submit here your delivery (one zip file, max 100MB)_ "	""	""
"Conférence sur l'addiction au jeu par Aymeric du Labo Epitech"	"05.11.2021 14:00 CET"	"05.11.2021 15:00 CET"	""	""	""
"Topic 03 is due"	"05.11.2021 23:42 CET"	"05.11.2021 23:42 CET"	"_Submit here your delivery (one zip file, max 100MB)_ "	""	""
"Conférence RSE par Michel Hertrich"	"08.11.2021 09:30 CET"	"08.11.2021 10:30 CET"	""	""	""
"Topic 04 is due"	"08.11.2021 23:42 CET"	"08.11.2021 23:42 CET"	"_Submit here your delivery (one zip file, max 100MB)_ "	""	""
"FÉRIÉ - CAMPUS FERMÉ"	"11.11.2021 08:00 CET"	"11.11.2021 19:00 CET"	""	""	""
"Project is due"	"11.11.2021 23:42 CET"	"11.11.2021 23:42 CET"	"_Submit here your delivery (one zip file, max 100MB)_ "	""	""
"Topic 05 is due"	"11.11.2021 23:42 CET"	"11.11.2021 23:42 CET"	"_Submit here your delivery (one zip file, max 100MB)_ "	""	""
"Piscine innovation &amp\; technologies"	"12.11.2021 09:30 CET"	"12.11.2021 17:30 CET"	""	""	""
"ENTREPRISE"	"15.11.2021 00:00 CET"	"15.11.2021 00:00 CET"	""	""	""
"Meeting with your Teacher, Lucas BRIGNON"	"18.11.2021 10:30 CET"	"18.11.2021 11:30 CET"	"Kick-off [1] appointment  Lien du KO => https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZGFhYzI3MjYtMjdmOC00ODE3LTk2ZDYtYjg5MzI1ZWFhNzI1%40thread.v2/0?context=%7b%22Tid%22%3a%22901cb4ca-b862-4029-9306-e5cd0f6d9f86%22%2c%22Oid%22%3a%221b1e9756-5adc-4a6d-ad4a-f925e19e26f0%22%2c%22IsBroadcastMeeting%22%3atrue%7d&btype=a&role=a    Links: ------ [1] https://gandalf.epitech.eu/mod/resource/view.php?id=3185 "	""	""
"Peer Evaluation deadline for assessment"	"21.11.2021 23:42 CET"	"21.11.2021 23:42 CET"	"Auto-evaluate your behaviour inside your project [1] group as well as your other mates's. This evaluation is important to improve your project [1] management skills with your referent.   Links: ------ [1] https://gandalf.epitech.eu/mod/assign/view.php?id=3904 "	""	""
"Feedback closes"	"21.11.2021 23:42 CET"	"21.11.2021 23:42 CET"	"You can share with us your thoughts and opinions regarding thisproject [1]. Course creators will consider the feedbacks to improve the quality of the course.  All submitted feedback [2] are anonymous, your responses will not affect your assessment. Give freely your opinion, but moderate yourself to stay constructive. Positive and negative feedbacks are welcome.   Links: ------ [1] https://gandalf.epitech.eu/mod/assign/view.php?id=3904 [2] https://gandalf.epitech.eu/mod/feedback/view.php?id=3911 "	""	""
"Feedback should be completed"	"21.11.2021 23:42 CET"	"21.11.2021 23:42 CET"	"You can share with us your thoughts and opinions regarding thisproject [1]. Course creators will consider the feedbacks to improve the quality of the course.  All submitted feedback [2] are anonymous, your responses will not affect your assessment. Give freely your opinion, but moderate yourself to stay constructive. Positive and negative feedbacks are welcome.   Links: ------ [1] https://gandalf.epitech.eu/mod/assign/view.php?id=3904 [2] https://gandalf.epitech.eu/mod/feedback/view.php?id=3911 "	""	""
"Peer Evaluation should be completed"	"21.11.2021 23:42 CET"	"21.11.2021 23:42 CET"	"Auto-evaluate your behaviour inside your project [1] group as well as your other mates's. This evaluation is important to improve your project [1] management skills with your referent.   Links: ------ [1] https://gandalf.epitech.eu/mod/assign/view.php?id=3904 "	""	""
"Kick-off Projet JavaScript"	"25.11.2021 09:30 CET"	"25.11.2021 13:00 CET"	""	""	""
"Kick-off GOTHAM project"	"25.11.2021 14:00 CET"	"25.11.2021 14:30 CET"	""	""	""
"Projet Gotham"	"25.11.2021 14:30 CET"	"25.11.2021 17:30 CET"	""	""	""
"Stratégies de référencement - Nicolas Barbé-Calon"	"26.11.2021 09:30 CET"	"26.11.2021 13:00 CET"	""	""	""
"Soutenances finales D-POO-700"	"26.11.2021 14:00 CET"	"26.11.2021 17:30 CET"	""	""	""
"Delivery 1 is due"	"28.11.2021 23:42 CET"	"28.11.2021 23:42 CET"	""	""	""
"ENTREPRISE"	"29.11.2021 00:00 CET"	"02.12.2021 00:00 CET"	""	""	""
"Follow-up Gotham"	"02.12.2021 09:30 CET"	"02.12.2021 17:30 CET"	""	""	""
"Projet JavaScript"	"03.12.2021 09:30 CET"	"03.12.2021 17:30 CET"	""	""	""
"ENTREPRISE"	"06.12.2021 00:00 CET"	"09.12.2021 00:00 CET"	""	""	""
"Projet JavaScript : salle 604"	"09.12.2021 09:30 CET"	"09.12.2021 17:30 CET"	""	""	""
"Stratégies de référencement - Nicolas Barbé-Calon : salle 604"	"10.12.2021 09:30 CET"	"10.12.2021 13:00 CET"	""	""	""
"Coaching avec Cécile Coursol : salle 604"	"10.12.2021 14:00 CET"	"10.12.2021 17:30 CET"	""	""	""
"ENTREPRISE"	"13.12.2021 00:00 CET"	"16.12.2021 00:00 CET"	""	""	""
"Projets Gotham / JavaScript - Nour Ezzedeen : salle 204"	"16.12.2021 09:30 CET"	"16.12.2021 13:00 CET"	""	""	""
"Coaching professionnel - Cécile Coursol : salle 204"	"16.12.2021 14:00 CET"	"16.12.2021 17:30 CET"	""	""	""
"Projets JavaScript / Gotham : salle 204"	"17.12.2021 09:30 CET"	"17.12.2021 13:00 CET"	""	""	""
"Projets JavaScript / Gotham : salle 204"	"17.12.2021 14:00 CET"	"17.12.2021 17:30 CET"	""	""	""
"Exercises 01 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 02 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 03 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 04 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 05 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"ENTREPRISE"	"20.12.2021 00:00 CET"	"08.01.2022 00:00 CET"	""	""	""
"Delivery 2 is due"	"02.01.2022 23:42 CET"	"02.01.2022 23:42 CET"	""	""	""
"Piscine Change Management &amp\; team building"	"10.01.2022 09:30 CET"	"10.01.2022 17:30 CET"	""	""	""
"Temps de projets - Nour Ezzedeen"	"13.01.2022 09:30 CET"	"13.01.2022 13:00 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"13.01.2022 14:00 CET"	"13.01.2022 17:30 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"14.01.2022 09:30 CET"	"14.01.2022 13:00 CET"	""	""	""
"Temps de projets / Coaching avec Cécile Coursol"	"14.01.2022 14:00 CET"	"14.01.2022 17:30 CET"	""	""	""
"Temps de projets - Nour Ezzedeen"	"20.01.2022 09:30 CET"	"20.01.2022 17:30 CET"	""	""	""
"Temps de projets - Nour Ezzedeen"	"21.01.2022 09:30 CET"	"21.01.2022 13:00 CET"	""	""	""
"Coaching - Cécile Coursol"	"21.01.2022 14:00 CET"	"21.01.2022 17:30 CET"	""	""	""
"Delivery 3 is due"	"23.01.2022 23:42 CET"	"23.01.2022 23:42 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"27.01.2022 09:30 CET"	"27.01.2022 17:30 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"28.01.2022 09:30 CET"	"28.01.2022 13:00 CET"	""	""	""
